objdump.c,2267 
objdump.c,2267 objdump.c,1218
objdump.c,2267 objdump.c,1226
objdump.c,2267 objdump.c,1638
objdump.c,2267 libbfd.c,675
objdump.c,2267 libbfd.c,514
objdump.c,2267 libbfd.c,522
objdump.c,2267 libbfd.c,685
objdump.c,2267 libbfd.c,695
objdump.c,2267 libbfd.c,713
objdump.c,2267 i386-dis.c,12558
objdump.c,2267 dis-buf.c,82
objdump.c,2267 dis-buf.c,93
objdump.c,2267 dis-buf.c,102
objdump.c,2267 archive.c,334
objdump.c,2267 archive.c,345
objdump.c,2267 
objdump.c,2267 elf-eh-frame.c,217
objdump.c,2267 elf32-i386.c,987
objdump.c,2267 elf64-x86-64.c,1051
objdump.c,2267 elfcode.h,1867
objdump.c,2267 elfcode.h,1867
objdump.c,2267 zutil.c,315
objdump.c,2267 xmalloc.c,155
elf-properties.c,154 
elf-properties.c,154 libbfd.c,486
elf-properties.c,154 libbfd.c,493
elf-properties.c,154 libbfd.c,500
elf-properties.c,154 libbfd.c,507
elf-properties.c,154 libbfd.c,530
elf-properties.c,154 libbfd.c,543
elf-properties.c,154 libbfd.c,556
elf-properties.c,154 libbfd.c,569
elf-properties.c,154 libbfd.c,582
elf-properties.c,154 libbfd.c,605
elf-properties.c,154 libbfd.c,629
elf-properties.c,154 libbfd.c,652
elf-properties.c,154 archive.c,326
elf-properties.c,154 bfd.c,864
elf-properties.c,154 elf-eh-frame.c,250
elf-properties.c,154 elf32-i386.c,977
elf-properties.c,154 simple.c,87
elf-properties.c,154 elf64-x86-64.c,1041
elf-properties.c,154 elfcode.h,1875
elf-properties.c,154 elf.c,11267
elf-properties.c,154 elfcode.h,1875
elf-properties.c,156 
elf-properties.c,156 libbfd.c,486
elf-properties.c,156 libbfd.c,493
elf-properties.c,156 libbfd.c,500
elf-properties.c,156 libbfd.c,507
elf-properties.c,156 libbfd.c,530
elf-properties.c,156 libbfd.c,543
elf-properties.c,156 libbfd.c,556
elf-properties.c,156 libbfd.c,569
elf-properties.c,156 libbfd.c,582
elf-properties.c,156 libbfd.c,605
elf-properties.c,156 libbfd.c,629
elf-properties.c,156 libbfd.c,652
elf-properties.c,156 archive.c,326
elf-properties.c,156 bfd.c,864
elf-properties.c,156 elf-eh-frame.c,250
elf-properties.c,156 elf32-i386.c,977
elf-properties.c,156 simple.c,87
elf-properties.c,156 elf64-x86-64.c,1041
elf-properties.c,156 elfcode.h,1875
elf-properties.c,156 elf.c,11267
elf-properties.c,156 elfcode.h,1875
elf-properties.c,436 
elf-properties.c,436 objdump.c,1638
elf-properties.c,436 libbfd.c,675
elf-properties.c,436 libbfd.c,514
elf-properties.c,436 libbfd.c,522
elf-properties.c,436 libbfd.c,685
elf-properties.c,436 libbfd.c,695
elf-properties.c,436 libbfd.c,713
elf-properties.c,436 archive.c,334
elf-properties.c,436 archive.c,345
elf-properties.c,436 
elf-properties.c,436 elf-eh-frame.c,217
elf-properties.c,436 elf32-i386.c,987
elf-properties.c,436 elf64-x86-64.c,1051
elf-properties.c,436 elfcode.h,1867
elf-properties.c,436 elfcode.h,1867
elf-properties.c,436 zutil.c,315
elf-properties.c,436 xmalloc.c,155
elf-properties.c,437 
elf-properties.c,437 objdump.c,1638
elf-properties.c,437 libbfd.c,675
elf-properties.c,437 libbfd.c,514
elf-properties.c,437 libbfd.c,522
elf-properties.c,437 libbfd.c,685
elf-properties.c,437 libbfd.c,695
elf-properties.c,437 libbfd.c,713
elf-properties.c,437 archive.c,334
elf-properties.c,437 archive.c,345
elf-properties.c,437 
elf-properties.c,437 elf-eh-frame.c,217
elf-properties.c,437 elf32-i386.c,987
elf-properties.c,437 elf64-x86-64.c,1051
elf-properties.c,437 elfcode.h,1867
elf-properties.c,437 elfcode.h,1867
elf-properties.c,437 zutil.c,315
elf-properties.c,437 xmalloc.c,155
elf-properties.c,438 
elf-properties.c,438 objdump.c,1638
elf-properties.c,438 libbfd.c,675
elf-properties.c,438 libbfd.c,514
elf-properties.c,438 libbfd.c,522
elf-properties.c,438 libbfd.c,685
elf-properties.c,438 libbfd.c,695
elf-properties.c,438 libbfd.c,713
elf-properties.c,438 archive.c,334
elf-properties.c,438 archive.c,345
elf-properties.c,438 
elf-properties.c,438 elf-eh-frame.c,217
elf-properties.c,438 elf32-i386.c,987
elf-properties.c,438 elf64-x86-64.c,1051
elf-properties.c,438 elfcode.h,1867
elf-properties.c,438 elfcode.h,1867
elf-properties.c,438 zutil.c,315
elf-properties.c,438 xmalloc.c,155
elf-properties.c,447 
elf-properties.c,447 objdump.c,1638
elf-properties.c,447 libbfd.c,675
elf-properties.c,447 libbfd.c,514
elf-properties.c,447 libbfd.c,522
elf-properties.c,447 libbfd.c,685
elf-properties.c,447 libbfd.c,695
elf-properties.c,447 libbfd.c,713
elf-properties.c,447 archive.c,334
elf-properties.c,447 archive.c,345
elf-properties.c,447 
elf-properties.c,447 elf-eh-frame.c,217
elf-properties.c,447 elf32-i386.c,987
elf-properties.c,447 elf64-x86-64.c,1051
elf-properties.c,447 elfcode.h,1867
elf-properties.c,447 elfcode.h,1867
elf-properties.c,447 zutil.c,315
elf-properties.c,447 xmalloc.c,155
elf-properties.c,449 
elf-properties.c,449 objdump.c,1638
elf-properties.c,449 libbfd.c,675
elf-properties.c,449 libbfd.c,514
elf-properties.c,449 libbfd.c,522
elf-properties.c,449 libbfd.c,685
elf-properties.c,449 libbfd.c,695
elf-properties.c,449 libbfd.c,713
elf-properties.c,449 archive.c,334
elf-properties.c,449 archive.c,345
elf-properties.c,449 
elf-properties.c,449 elf-eh-frame.c,217
elf-properties.c,449 elf32-i386.c,987
elf-properties.c,449 elf64-x86-64.c,1051
elf-properties.c,449 elfcode.h,1867
elf-properties.c,449 elfcode.h,1867
elf-properties.c,449 zutil.c,315
elf-properties.c,449 xmalloc.c,155
elf-properties.c,467 
elf-properties.c,467 objdump.c,1638
elf-properties.c,467 libbfd.c,675
elf-properties.c,467 libbfd.c,514
elf-properties.c,467 libbfd.c,522
elf-properties.c,467 libbfd.c,685
elf-properties.c,467 libbfd.c,695
elf-properties.c,467 libbfd.c,713
elf-properties.c,467 archive.c,334
elf-properties.c,467 archive.c,345
elf-properties.c,467 
elf-properties.c,467 elf-eh-frame.c,217
elf-properties.c,467 elf32-i386.c,987
elf-properties.c,467 elf64-x86-64.c,1051
elf-properties.c,467 elfcode.h,1867
elf-properties.c,467 elfcode.h,1867
elf-properties.c,467 zutil.c,315
elf-properties.c,467 xmalloc.c,155
elf-properties.c,472 
elf-properties.c,472 objdump.c,1638
elf-properties.c,472 libbfd.c,675
elf-properties.c,472 libbfd.c,514
elf-properties.c,472 libbfd.c,522
elf-properties.c,472 libbfd.c,685
elf-properties.c,472 libbfd.c,695
elf-properties.c,472 libbfd.c,713
elf-properties.c,472 archive.c,334
elf-properties.c,472 archive.c,345
elf-properties.c,472 
elf-properties.c,472 elf-eh-frame.c,217
elf-properties.c,472 elf32-i386.c,987
elf-properties.c,472 elf64-x86-64.c,1051
elf-properties.c,472 elfcode.h,1867
elf-properties.c,472 elfcode.h,1867
elf-properties.c,472 zutil.c,315
elf-properties.c,472 xmalloc.c,155
elf-properties.c,209 elf64-x86-64.c,6939
elf-properties.c,209 archures.c,1441
elf-properties.c,209 archures.c,965
elf-properties.c,209 bfd.c,1910
